Category,Name,Address,Open and Close,Website,Phone,Url
Plastic surgeon,"Dr. Richard Swift, MD - Plastic Surgeon, Buccal Fat Removal NYC, Facelift Specialist, Male Plastic Surgery","110 E 87th St, New York, NY 10128, United States","Tuesday 9AM–5PM,Wednesday 9AM–5PM,Thursday 9AM–5PM,Friday 9AM–5PM,Saturday Closed,Sunday Closed,Monday 9AM–5PM",plasticsurgeonnyc.com,+1 212-828-9906,"https://www.google.com/maps/place/Dr.+Richard+Swift,+MD+-+Plastic+Surgeon,+Buccal+Fat+Removal+NYC,+Facelift+Specialist,+Male+Plastic+Surgery/data=!4m5!3m4!1s0x89c258bcd114cc3d:0xad34385511b9d410!8m2!3d40.780416!4d-73.956165?authuser=0&hl=en&rclk=1"
Plastic surgeon,Plastic Surgery Group of NYC,"461 Park Ave S # 7H, New York, NY 10016, United States","Tuesday 8AM–5:30PM,Wednesday 8AM–5:30PM,Thursday 8AM–5:30PM,Friday 8AM–5:30PM,Saturday Closed,Sunday Closed,Monday 8AM–5:30PM",plasticsurgerygroupnyc.com,+1 212-430-2129,https://www.google.com/maps/place/Plastic+Surgery+Group+of+NYC/data=!4m5!3m4!1s0x89c25907fd47f83d:0x580b4431e25a3630!8m2!3d40.7451787!4d-73.9823329?authuser=0&hl=en&rclk=1
Plastic surgeon,Aristocrat Plastic Surgery & MedAesthetics,"33 W 56th St, New York, NY 10019, United States","Tuesday 9AM–5PM,Wednesday 9AM–5PM,Thursday 9AM–5PM,Friday 9AM–4PM,Saturday Closed,Sunday Closed,Monday 9AM–5PM",aristocratps.com,+1 212-439-9900,https://www.google.com/maps/place/Aristocrat+Plastic+Surgery+%26+MedAesthetics/data=!4m5!3m4!1s0x89c258ef854def17:0x50840c7584e5d56e!8m2!3d40.7632768!4d-73.9761699?authuser=0&hl=en&rclk=1
Plastic surgeon,5th Avenue Millennium Aesthetic Surgery,"1125 5th Ave, New York, NY 10128, United States",,drleokeegan.com,+1 212-288-9800,https://www.google.com/maps/place/5th+Avenue+Millennium+Aesthetic+Surgery/data=!4m5!3m4!1s0x89c258a182ebef17:0x75efcb212356bd63!8m2!3d40.7863481!4d-73.9564894?authuser=0&hl=en&rclk=1
Plastic surgeon,Mommy Makeover Plastic Surgeons of NYC,"37 W 57th St FL #2, Suite #M, New York, NY 10019, United States","Tuesday 9AM–5PM,Wednesday 9AM–5PM,Thursday 9AM–5PM,Friday 9AM–5PM,Saturday Closed,Sunday Closed,Monday 9AM–5PM",mommymakeoverplasticsurgeonsnyc.com,+1 917-979-5563,https://www.google.com/maps/place/Mommy+Makeover+Plastic+Surgeons+of+NYC/data=!4m5!3m4!1s0x89c2599e5354f4ab:0xb09c50d50187ba40!8m2!3d40.7640994!4d-73.9759873?authuser=0&hl=en&rclk=1
Plastic surgeon,Discreet Plastic Surgery,"215 E 72nd St E, New York, NY 10021, United States","Tuesday 9AM–5PM,Wednesday 9AM–5PM,Thursday 9AM–5PM,Friday 9AM–5PM,Saturday Closed,Sunday Closed,Monday 9AM–5PM",discreetplasticsurgery.com,+1 212-444-9095,https://www.google.com/maps/place/Discreet+Plastic+Surgery/data=!4m5!3m4!1s0x89c258ef81edb2b3:0x905df408fad3d242!8m2!3d40.7696763!4d-73.9596699?authuser=0&hl=en&rclk=1
Plastic surgeon,West Village Plastic Surgery,"115 Washington Pl, New York, NY 10014, United States","Tuesday 9AM–6:30PM,Wednesday 9AM–6:30PM,Thursday 9AM–6:30PM,Friday 9AM–6:30PM,Saturday 12:30–4PM,Sunday Closed,Monday 9AM–6:30PM",westvillageplasticsurgery.com,+1 646-725-8447,https://www.google.com/maps/place/West+Village+Plastic+Surgery/data=!4m5!3m4!1s0x89c25993f86010ed:0xca98c74f1ad88f5c!8m2!3d40.7328676!4d-74.0011675?authuser=0&hl=en&rclk=1
Plastic surgeon,Bronx Plastic Surgery,"1123 Park Avenue at, E 90th St, New York, NY 10128, United States",,bronxplasticsurgery.com,+1 718-405-7500,https://www.google.com/maps/place/Bronx+Plastic+Surgery/data=!4m5!3m4!1s0x89c258a373221fb3:0x3896164d22bd0759!8m2!3d40.7827755!4d-73.9549989?authuser=0&hl=en&rclk=1
Plastic surgeon,Millennial Plastic Surgery,"56 W 45th St 8th floor, New York, NY 10036, United States","Tuesday 9AM–7PM,Wednesday 9AM–7PM,Thursday 9AM–7PM,Friday 9AM–7PM,Saturday Closed,Sunday 9AM–7PM,Monday 9AM–7PM",millennialplasticsurgery.com,+1 212-421-7123,https://www.google.com/maps/place/Millennial+Plastic+Surgery/data=!4m5!3m4!1s0x89c2599787fb97bf:0x89ddccd037a27191!8m2!3d40.7561859!4d-73.9818267?authuser=0&hl=en&rclk=1
